probe_id	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fwer
1779325_at	2.0487174253968603	2.2361721207752203	2.24400946081396	2.0565547654355902	2.25411148360815	2.07900693485305	2.176299668995347	0.11055893286360169	2.1298910612989297	0.1081621928720857	1.0217891931374719	0.031097582395145408	0.031097582395145408	0.6307034342439319	1.0
1779326_at	1.3149303330332098	1.40622041348284	1.2845291431819899	1.03859922956952	1.16641506498668	1.3149303330332098	1.3352266298993465	0.06333360929804495	1.1733148758631367	0.13829470426579338	1.1379951429637345	0.18649440014266072	0.18649440014266072	0.13900129998208677	1.0
1779327_at	2.7843390956735297	2.2502919590631096	2.46333428871098	3.1106770550317	2.92574591604408	3.24838371002457	2.4993217811492063	0.2688362154536489	3.094935560366783	0.161893892771974	0.8075521226209342	-0.30837271480844103	0.30837271480844103	0.030290832050235614	1.0
1779328_at	2.09591155400862	2.59589670568447	2.44469669211029	2.30997587445713	2.2612302872649903	2.17499464296362	2.37883498393446	0.25641687040239647	2.2487336015619133	0.06835282422144125	1.05785540016042	0.08114243678211834	0.08114243678211834	0.4436259589111695	1.0
1779329_at	8.8484180812701	8.99070988544466	8.9817713967143	9.05476667842637	8.874750640962882	8.842569759489109	8.940299787809687	0.07969730323333243	8.924029026292787	0.11435975055568545	1.0018232528680668	0.0026280028415363987	0.0026280028415363987	0.8496439750412506	1.0
1779330_at	7.1469379249457194	7.12573017518769	7.287246353993259	7.399087683040809	7.60405104930872	7.691951806839559	7.186638151375557	0.08777214813323977	7.565030179729696	0.15028080366144483	0.9499814251411671	-0.07402878998978647	0.07402878998978647	0.019674630111219244	1.0
1779331_at	9.67699056637566	9.71401833168397	9.70186911505851	9.201421087639028	9.20031782001653	9.241924747280029	9.697626004372713	0.018875032242377396	9.214554551645195	0.023709702796081273	1.0524248296561736	0.07371719124401391	0.07371719124401391	1.023656275602671e-05	0.11186515779785988
1779332_at	1.89806659395764	2.11565001623363	1.96573712853472	2.0262257776151	2.38854013949238	2.3211508137780297	1.9931512462419967	0.11135208484615033	2.2453055769618366	0.19269742906020695	0.8876970986456844	-0.17186061293945623	0.17186061293945623	0.1212216302096806	1.0
1779333_at	7.12480349061051	7.02923112976321	7.21968241045583	7.33532398291028	7.438900260235941	7.612356621258679	7.124572343609851	0.09522585075002846	7.462193621468301	0.13997752028698973	0.9547557601712273	-0.06679637603811069	0.06679637603811069	0.025956204628549463	1.0
1779334_at	8.76144428917642	8.96995215950461	8.831728040364881	7.5959525226878295	7.46358176154136	7.54627643014863	8.854374829681971	0.10608270734185991	7.53527023812594	0.06686820469217154	1.1750573701898313	0.23273119565651784	0.23273119565651784	5.33698186939475e-05	0.5832253786874583
1779335_at	1.37992745461622	1.4763990497419301	1.48830007874383	1.46508659356707	1.15955255181292	1.24528463313117	1.4482088610339934	0.059432074417925904	1.2899745928370534	0.1575933280362522	1.122664639346837	0.16692703245134866	0.16692703245134866	0.17901803121268217	1.0
1779336_at	9.84698492011378	9.82207549265249	10.0433907935604	8.80381823360282	8.85373618921347	8.77326807129346	9.90415040210889	0.1212272034354901	8.81027416470325	0.040620669432903975	1.1241591597442058	0.1688463084396653	0.1688463084396653	0.00012072370461989936	1.0
1779337_at	1.30158726550838	1.53977008400538	1.4989288419835503	1.22418295007711	1.3244277708315901	1.3244277708315901	1.4467620638324368	0.1273726552828131	1.2910128305800967	0.0578763742474649	1.1206411195637431	0.1643243353055101	0.1643243353055101	0.12607578341610295	1.0
1779338_at	1.24564339888751	1.00363632297009	1.0786594600921	1.3800760139610202	1.29868036434357	1.76973753459631	1.1093130606499	0.12388134895492879	1.4828313043003003	0.25177907315970877	0.7481046950066573	-0.4186879098046477	0.4186879098046477	0.08243337023747595	1.0
1779339_at	1.01467438564813	1.2280074507678602	0.9480510958933109	0.983961569412988	1.2280074507678602	1.35147274774286	1.0635776441031004	0.14624478340883265	1.1878139226412359	0.18702341117304555	0.8954076255800384	-0.15938349013746253	0.15938349013746253	0.4160038720910725	1.0
1779340_at	8.57412689561142	8.60971418782172	8.5389244777376	7.94223690528204	8.00904992209799	7.96846736671715	8.574255187056913	0.03539502941755589	7.973251398032393	0.033662442287080575	1.075377503984489	0.10484319704452329	0.10484319704452329	2.8666911140446565e-05	0.31327200494280005
1779341_at	1.48830007874383	1.24824658660507	1.1174198756070801	1.1839538515716599	1.4163756579150801	1.36851689716755	1.2846555136519935	0.18810167130097588	1.3229488022180969	0.12272861310214658	0.9710545952330887	-0.04237568486820388	0.04237568486820388	0.7824524164984865	1.0
1779342_at	1.48830007874383	1.4186195151202399	1.29402658098037	1.49114107501838	1.5758119436796698	1.6934108645344998	1.4003153916148134	0.0984216880890016	1.5867879610775166	0.10158061653761623	0.8824842549624097	-0.18035755643588308	0.18035755643588308	0.08445973939109949	1.0
1779343_at	6.73028952581537	6.68663040270401	6.9560101018944005	6.21294683727437	6.313329222626259	6.35767064538586	6.790976676804593	0.1445806117892989	6.294648901762163	0.07414823631929492	1.078849159466779	0.10949316686326864	0.10949316686326864	0.006125499717413363	1.0
1779344_at	8.86432763287284	8.8576829652396	8.86763329941816	8.465607682683151	8.30241005101046	8.15648610905383	8.8632146325102	0.005067678454842484	8.308167947582481	0.1546412035987418	1.0668073501197368	0.09329966995719888	0.09329966995719888	0.0034144294047245617	1.0
1779345_at	1.83549311299306	2.08456544430125	2.0559709783715503	1.79661001651713	1.54495906384991	1.8701265560351101	1.9920098452219535	0.13629940011298483	1.7372318788007168	0.17052213030133376	1.146657432165659	0.19743444564012289	0.19743444564012289	0.11330814458481983	1.0
1779346_at	1.65711439790891	1.45233784947346	1.8986667729592401	1.61784196803388	1.5659164442173201	1.6456469098098898	1.6693730067805366	0.22341683487059447	1.6098017740203634	0.040468757402880896	1.0370053218486637	0.05242329799392977	0.05242329799392977	0.6730844313335649	1.0
1779347_at	1.38821836792206	1.35192725419075	1.5941214444105902	1.33599349877591	1.38821836792206	1.42450948165336	1.4447556888411335	0.13062104706589495	1.38290711611711	0.04449636898660332	1.0447235913411743	0.06312129048835356	0.06312129048835356	0.48091077716888164	1.0
1779348_at	5.573636427736701	5.91277859562745	6.078408979149719	5.64843589616078	5.67072464833107	5.594372188041589	5.85494133417129	0.25730855752299264	5.637844244177813	0.03926272872407605	1.0385071102696164	0.054511093809521315	0.054511093809521315	0.22206328027626251	1.0
1779349_at	6.97484876357542	6.9266099257844	6.8834795232049	6.81011346775949	6.953608153425209	7.18021867327178	6.928312737521574	0.04570841495097665	6.981313431485494	0.18660158791157633	0.9924082059222712	-0.010994430400245685	0.010994430400245685	0.6577112524978403	1.0
1779350_at	7.50237926959149	7.572244991490741	7.54575332978732	7.911871182162111	7.77118852726411	7.665975325639911	7.540125863623184	0.03527117882488806	7.783011678355376	0.12337355162267061	0.9687928240673646	-0.045739915983081456	0.045739915983081456	0.03054259964600007	1.0
1779351_at	7.151163806503759	7.250393081523909	7.20592047228204	7.7131077709442994	7.766057821708549	7.79152546851719	7.2024924534365695	0.049703377552836554	7.756897020390013	0.04000342527530134	0.9285275329173356	-0.10698340495889212	0.10698340495889212	0.00011357034562250914	1.0
1779352_at	1.17304148086384	1.10427770251298	1.16826277695696	1.14677509841957	0.9466556141280199	1.1205087159753	1.14852732011126	0.03839570934301019	1.0713131428409632	0.10875249565086259	1.0720743302612121	0.10040493581588401	0.10040493581588401	0.3107129162419357	1.0
1779353_at	1.7891715759661	1.7252925148354799	1.91316417764049	1.55234364896363	1.8371788842967	1.7891715759661	1.8092094228140232	0.09552526839012532	1.7262313697421432	0.15249222928217357	1.0480689057830497	0.06773357065737	0.06773357065737	0.46919192819475647	1.0
1779354_at	2.75213538800562	2.17999765426191	2.09007657792814	2.7714211610855495	3.49555435801311	2.9868536008242703	2.3407365400652234	0.3591075174056792	3.084609706640977	0.37183250784656746	0.7588436666803454	-0.39812539572338373	0.39812539572338373	0.06730752118507934	1.0
1779355_at	1.5889181163901398	1.7635652728356002	1.29402658098037	1.6399569202075701	1.6110578436021998	1.7084489180883702	1.54883665673537	0.23732159266135672	1.6531545606327134	0.05001888275427818	0.9368976704407979	-0.09403661200772707	0.09403661200772707	0.4976749123734426	1.0
1779356_at	8.84820128151208	8.98921007452376	8.85724886027627	8.54084382319863	8.561885041521819	8.447396962266449	8.898220072104037	0.07892939931121622	8.516708608995632	0.060940639120084614	1.0447956459030945	0.06322078970075033	0.06322078970075033	0.0026899926948645006	1.0
1779357_at	1.25955910909091	1.43291034652749	1.1718035041963402	1.1517232630073402	1.51231510899221	1.23128372672736	1.2880909866049135	0.13287116618699313	1.2984406995756366	0.18944435620862965	0.9920291215655012	-0.011545622539869047	0.011545622539869047	0.941969988936739	1.0
1779358_at	6.042087766555659	5.889659379875161	6.025558348457951	6.857042164756219	7.018385899125461	6.87070901991583	5.985768498296257	0.08364225844883938	6.915379027932503	0.08946791250057387	0.865573452173572	-0.20827184364878973	0.20827184364878973	0.0001933520260687734	1.0
1779359_at	1.93291038966717	1.83608933732019	1.9108691395195299	1.65647198198057	1.7247655839245901	1.9815856429412202	1.8932896221689635	0.05074799126175645	1.787607736282127	0.17142513007288354	1.059119170129927	0.08286492784082396	0.08286492784082396	0.36377504646773573	1.0
1779360_at	7.575196755100219	7.71008091911014	7.8456069319069	6.53156958983679	6.61582681763095	6.628870122586429	7.710294868705753	0.13520521536160232	6.59208884335139	0.052815404812551384	1.1696284822499254	0.22605034867077164	0.22605034867077164	0.00018241350993877906	1.0
