	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fwer	FWER
1769324_at	6.56230410398908	6.74460200987047	6.69222124898329	7.10214524159976	7.05284679602707	7.06511166993828	6.66637578761428	0.0938569258351117	7.0733679025217	0.0256653115376481	0.942461339419044	-0.0854946558932064	0.0854946558932064	0.00192673416487548	1	1
1769325_at	4.97824540282213	4.96549712436632	4.95352963867184	5.96596677518596	6.15827721446958	6.1194486255321	4.9657573886201	0.0123599373984878	6.08123087172921	0.101692053739062	0.816571101042258	-0.292349584293159	0.292349584293159	4.65437519906249e-05	0.508630121753549	0.508630121753549
1769326_at	1.83513806921677	1.87750580281415	1.62316201597625	1.52029456670533	1.21476052495119	1.59373657991962	1.77860196266906	0.136271563370505	1.44293055719205	0.200984091499395	1.23263171176458	0.301741812734648	0.301741812734648	0.0748172087662861	1	1
1769327_at	1.18755255837803	1.33603487853529	1.30359936945957	1.19082941347849	0.713502417086605	1.38933723213396	1.27572893545763	0.0780661300975855	1.09788968756635	0.347370866361862	1.16198280201127	0.216588716215195	0.216588716215195	0.435754206821179	1	1
1769328_at	1.55640561303109	1.87012655603511	1.41061704348899	1.55640561303109	1.48830007874383	1.26551176301537	1.61238307085173	0.234813446949146	1.43673915159676	0.152146984526283	1.12225178040131	0.166396385025209	0.166396385025209	0.338034098208824	1	1
1769329_at	7.92499218315544	8.07062199398608	7.98024861564243	7.52543911739055	7.54007017104931	7.58944958014556	7.99195426426132	0.0735171891997624	7.55165295619514	0.0335403565772406	1.05830528900364	0.0817558612882745	0.0817558612882745	0.000702866704844674	1	1
1769330_at	1.55332905501878	1.41571785128122	1.29301671654242	1.30679465413965	1.25282202249583	1.13813968262312	1.42068787428081	0.130227317553653	1.2325854530862	0.0861293440728155	1.15260801652626	0.20490195898825	0.20490195898825	0.105221853317769	1	1
1769331_at	7.55914576069639	7.43985450969479	7.544214608665	6.96260269304092	6.98809837700535	7.0399648086467	7.51440495968539	0.0649927843733226	6.99688862623099	0.0394230337979863	1.07396378034578	0.102945338950272	0.102945338950272	0.000295980548420142	1	1
1769333_at	4.63946350712996	3.73813028761956	3.5608457792079	12.5456289549467	12.9397654178409	12.9304774658854	3.97947985798581	0.578395420178891	12.805290612891	0.224921539581405	0.310768414266186	-1.6860882156501	1.6860882156501	1.61194602388526e-05	0.176153461490181	0.176153461490181
1769334_at	1.58784900712976	1.65770328999143	1.46399167706099	1.4926854838612	1.47293826946009	1.60517052510288	1.56984799139406	0.0981023683285264	1.52359809280806	0.0713304591462932	1.03035570784994	0.0431424824173904	0.0431424824173904	0.54506618837632	1	1
1769335_at	9.01372579493556	8.84948685854485	8.70491485859861	8.66030597970378	8.6501768464651	8.65408687534153	8.85604250402634	0.154509808640375	8.65485656717014	0.00510824374663148	1.02324543859217	0.0331522355714966	0.0331522355714966	0.0872523077997426	1	1
1769336_at	6.2932451619236	5.91836889862565	6.09736547084448	6.16799962273139	6.17386530773162	6.20856724979396	6.10299317713124	0.187501484006383	6.18347739341899	0.0219254928067296	0.986983987946102	-0.0189014151683379	0.0189014151683379	0.501226585504019	1	1
1769337_at	1.48633173269156	1.66700397865398	1.64653707011357	1.39113742999391	1.44233431318791	1.57571389820436	1.5999575938197	0.0989335677317585	1.46972854712873	0.0952887779025629	1.08860755065648	0.12248394784189	0.12248394784189	0.175907342589887	1	1
1769338_at	4.07799282044514	3.82928730321211	4.48256664894221	4.07799282044514	4.67671492523714	4.95585055319438	4.12994892419982	0.329724208130693	4.57018609962555	0.448519612449162	0.903671936803229	-0.14612897384832	0.14612897384832	0.242619213317637	1	1
1769339_at	7.77295791722773	7.60818573210306	7.78076439351729	7.60418924693212	7.68376934795691	7.69601812574699	7.72063601428269	0.0974629916415679	7.66132557354534	0.0498590814544063	1.0077415376971	0.0111256685041122	0.0111256685041122	0.401182532230695	1	1
1769340_at	1.58940463971965	1.8387074260142	1.71701615571335	1.74536852724629	1.58940463971965	1.60010098194541	1.7150427404824	0.124663108373375	1.64495804963712	0.0871223332133007	1.04260576180696	0.0601937379099443	0.0601937379099443	0.469485030854205	1	1
1769341_at	10.2238110914523	10.3922699636079	10.1553359144828	9.59033363489883	9.5650529420589	9.48101685696833	10.2571389898477	0.121932348116866	9.54546781130869	0.0572295596187309	1.07455592461334	0.10374056891066	0.10374056891066	0.000791392754356341	1	1
1769342_at	2.77998488869203	2.01952312803493	2.78341443743564	10.3482186519738	10.5637255158078	10.4489456039019	2.5276408180542	0.44004616875282	10.4536299238945	0.107829769684611	0.241795513755142	-2.04814061764214	2.04814061764214	7.06626641289967e-06	0.0772201593601676	0.0772201593601676
1769343_at	1.8856207598985	1.90104924623474	1.750900657765	1.61309381845062	1.65958651049584	1.45115371044998	1.84585688796608	0.0825955433916217	1.57461134646548	0.109415417201164	1.17226189948997	0.229294923757419	0.229294923757419	0.0266082731814713	1	1
1769344_at	9.2357298141005	9.2994733519155	9.14866953101995	8.68087261497542	8.53403109690816	8.52451260735187	9.22795756567865	0.075701743594997	8.57980543974515	0.0876560371145533	1.0755439188552	0.105066437100281	0.105066437100281	0.00063406556183285	1	1
1769345_at	7.02735390267332	7.23051599978894	7.03534401399589	7.37786906151454	7.35796343894615	7.31440534769239	7.09773797215272	0.115058523964811	7.35007928271769	0.0324581373865012	0.965668219231552	-0.0504004966003858	0.0504004966003858	0.0216571136164106	1	1
1769346_at	6.72721270397537	6.91144919464212	6.866822100719	6.72572374618854	6.78468224910204	6.7353032780482	6.83516133311216	0.096112300343871	6.74856975777959	0.0316389930275585	1.01283110028355	0.0183936103685891	0.0183936103685891	0.212413674171791	1	1
1769347_at	1.88809210841199	2.07900693485305	1.93433825096398	1.92770693457423	1.87012655603511	1.97626790264193	1.96714576474301	0.0995960213011835	1.92470046441709	0.0531345039685288	1.02205293816395	0.0314699239160922	0.0314699239160922	0.550394854525033	1	1
