probe_id	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fdr
1769308_at	11.1455060343751	6.7955925397971395	6.708003066559839	10.9458776869138	6.69886215934826	11.0707252887716	8.216367213577358	2.537086646644883	9.571821711677886	2.4888389206443127	0.8583911674360967	-0.22029286357589645	0.22029286357589645	0.5449864434584129	0.9111215630145474
1769309_at	2.16432945959427	3.17740803983918	3.1289499553752402	2.49830834229269	3.04716851575709	2.4441884789426096	2.82356248493623	0.5714264456284934	2.663221778997463	0.33360689801551235	1.0602055402232125	0.08434398470810976	0.08434398470810976	0.6962554788741375	0.913095846558358
1769310_at	1.48830007874383	1.4271999906772301	1.8156977248348	1.46207537041049	2.07900693485305	1.62303630758998	1.57706593141862	0.20890704825879708	1.7213728709511733	0.3200057789660269	0.9161675300175876	-0.12631666182046244	0.12631666182046244	0.5487821420224204	0.9111215630145474
1769311_at	9.00613838230067	9.461820695082231	9.23461767303059	8.972233209667321	9.276709711799029	9.00499688640042	9.23419225013783	0.2278414542702152	9.084646602622257	0.1671363008393279	1.01646136102558	0.023555374733774836	0.023555374733774836	0.41118808168260923	0.9111215630145474
1769312_at	6.94571520856451	6.89589516620833	6.95546294237695	6.8514537506493305	6.90018668606141	6.8928535482773805	6.932357772383264	0.031951460301850906	6.88149799499604	0.026276152519223515	1.0073908002914782	0.01062346116882731	0.01062346116882731	0.10026964665269386	0.9111215630145474
1769313_at	7.81519169303838	6.60013093986333	6.534412648769161	7.77024503327809	6.56412309047583	7.8517769238405295	6.9832450938902895	0.7212358014696987	7.395381682531482	0.7210443796635763	0.9442710861543908	-0.0827269995942099	0.0827269995942099	0.5225281304880051	0.9111215630145474
1769314_at	8.6580981215362	8.78837201523564	8.98225957595422	8.572726593793089	8.80755875922876	8.6570395293548	8.809576570908687	0.16311770908938739	8.679108294125548	0.11896137719731414	1.0150324517636733	0.021525852780006953	0.021525852780006953	0.32567733535050025	0.9111215630145474
1769315_at	1.3956144190992201	1.45143141986623	1.6393030826712298	1.35282720240619	1.53950619676807	1.33729707481642	1.4954496405455597	0.12766849259785548	1.40987682466356	0.11253055940452703	1.0606952425807978	0.08501020274252513	0.08501020274252513	0.4329462893436575	0.9111215630145474
1769316_s_at	1.9052378959527	1.9184567763859701	1.6284698773776498	1.72416719792171	1.74658536775967	1.5188148584096297	1.8173881832387735	0.16374150181629288	1.66318914136367	0.12553323770456512	1.0927128719399128	0.12791435924629174	0.12791435924629174	0.2651763641391986	0.9111215630145474
1769317_at	6.96135554816049	7.418889853304581	7.258103389334461	7.071839609878469	7.22536104849244	6.8711572674107995	7.212782930266511	0.23210960364344885	7.056119308593902	0.1776243945450365	1.0222025188097092	0.031681051400671574	0.031681051400671574	0.40575038897962734	0.9111215630145474
1769318_at	1.72910069335975	1.25547500026405	1.3033297639716002	1.47097274772506	1.3612255820118002	1.72730701187569	1.4293018191984668	0.2607336635604541	1.51983511387085	0.18786844184647253	0.9404321601428164	-0.08860421892788484	0.08860421892788484	0.6511292095632861	0.9111215630145474
1769319_at	9.36223810604203	9.17451444882863	9.16060848203334	9.41319469486721	9.08398939364668	9.305386667871641	9.232453678968	0.11261146527476072	9.267523585461843	0.16783695166769202	0.9962158276512122	-0.005469762483048298	0.005469762483048298	0.7787414151331369	0.9342477314304926
1769320_at	5.743091170685211	5.5837122911107	5.54357333844238	5.66637665024637	5.4437410250805796	5.88280173619449	5.623458933412763	0.10553050756267443	5.664306470507147	0.21953767613800984	0.9927886075184901	-0.010441534587183198	0.010441534587183198	0.7859056571037878	0.9360008078899344
1769321_at	1.68759628652042	1.93689907281496	1.7984205930904698	1.81872079517885	1.8456089923653303	1.46653563286968	1.8076386508086166	0.12490676224539084	1.7102884734712867	0.21152382670280673	1.0569203259259201	0.079866625799185	0.079866625799185	0.5301786761076397	0.9111215630145474
1769322_s_at	5.535850729204509	6.893833116243889	6.69222124898329	5.420552292957259	6.5031813162485	5.39773931110445	6.373968364810563	0.7327978674849481	5.773824306770069	0.6317446822029793	1.1039422099035465	0.14266465067787498	0.14266465067787498	0.34314420813531954	0.9111215630145474
1769323_at	7.579704777689541	7.470185884364151	7.55261200559105	7.59488646609855	7.37765728156717	7.539399085760209	7.534167555881581	0.05704161018605989	7.503980944475309	0.11286258548385254	1.004022746276894	0.005791954118511653	0.005791954118511653	0.7004787885767807	0.9147596325378983
